geneName	baseMean	log2FC	lfcSE	stat	pvalue	padj
Dnali1	2.702837373	0.230378134	0.21708913	1.061214506	0.288592429	0.804079358
5330411J11Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm32633	3.469013845	0.14793614	0.23347324	0.633632103	0.526320945	0.999630442
Mir144	15.02863376	1.501458033	0.297319082	5.049988789	4.42E-07	6.19E-06
Ube2f	4842.974419	-0.161633916	0.070342799	-2.297803321	0.021572986	0.10587148
Tcf7l2	401.7939187	-0.319894623	0.12909334	-2.478010286	0.013211734	0.070449877
4932414N04Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Dscam	1.18005199	0.034965854	0.163636426	0.213680135	0.830796504	0.999630442
Fam219a	233.6723908	0.395321626	0.168738428	2.342807327	0.019139264	0.095703782
Gm14052	7.112951331	0.231916444	0.279614018	0.829416371	0.406868841	0.998373781
Gpcpd1	1333.136969	0.343814455	0.091479558	3.758374695	0.000171021	0.001532316
Cym	1.513385323	0.097445357	0.179159942	0.543901477	0.586509272	0.999630442
Sppl2b	7050.542107	0.174923382	0.0737192	2.372833446	0.017652222	0.089790758
Gm1980	1.192208753	-0.033004048	0.164169531	-0.201036378	0.840670129	0.999630442
Gm45631	4.056336416	0.061363369	0.247552037	0.247880687	0.804226723	0.999630442
Gssos1	1.18005199	0.035011212	0.163768964	0.213784171	0.830715369	0.999630442
2310034O05Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Prkcd	2882.302651	-0.539386744	0.075327327	-7.160571948	8.03E-13	2.03E-11
Hspa1b	68.23463952	-0.644812519	0.236185803	-2.730107018	0.006331377	0.037700204
Fam177a2	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Clint1	53800.46959	-0.18329647	0.068919185	-2.65958558	0.007823685	0.045109726
Mitf	1.343623952	-0.062998142	0.171899572	-0.366482251	0.714005254	0.999630442
Zfp335	3375.278797	0.045813525	0.080689745	0.567773825	0.570188556	0.999630442
Hoxb4	122.6125868	-0.436058249	0.192960942	-2.259826494	0.023832021	0.114633229
Fkbp8	23161.66791	0.028567383	0.067696335	0.421993054	0.673030088	0.999630442
9530046B11Rik	1.852570064	0.087726066	0.189745719	0.462334889	0.643841183	0.999630442
2210412B16Rik	7.402182297	0.067416852	0.280835789	0.240057908	0.810285365	0.999630442
Ago1	10533.42086	-0.88601737	0.074313302	-11.92272905	9.01E-33	6.98E-31
Cyb5r4	7592.169083	0.23514016	0.072137059	3.259630507	0.001115574	0.008242142
Cnbd2	118.9872722	-0.060749402	0.196367003	-0.309366651	0.757042635	0.999630442
Dnajc2	12892.10509	-0.106412178	0.070487439	-1.509661564	0.131129804	0.454928553
Eif4b	124987.2432	-0.250991768	0.063217284	-3.970302937	7.18E-05	0.000688092
Tmem30c	1.67065193	0.003201177	0.185967483	0.017213639	0.986266181	0.999630442
5330439A09Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Platr4	3.980224294	-0.148013501	0.245898929	-0.601928203	0.54722193	0.999630442
Prr12	1974.769622	0.080479395	0.089652751	0.897679033	0.369356691	0.942291181
Gm7281	1.525542086	0.031765795	0.180069192	0.176408828	0.859972769	0.999630442
Gm15417	100.9196041	0.610513142	0.213226579	2.863213128	0.004193684	0.02637969
Trpv3	2.578231241	0.150967638	0.214427829	0.704048717	0.481402436	0.999630442
Plekho2	5174.888666	0.300812087	0.07729233	3.891874979	9.95E-05	0.000928217
Lingo3	272.6045521	0.482182292	0.154521662	3.120483467	0.001805544	0.012623555
1700039E22Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Arc	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Nt5dc1	3384.952223	0.201768673	0.076189691	2.648241114	0.008091179	0.046391358
Cxadr	1.852570064	0.090238744	0.190572062	0.473515072	0.635845751	0.999630442
Gm27219	2075.578955	0.029902183	0.081620348	0.366356969	0.714098725	0.999630442
Alg2	3961.382009	0.083210347	0.074339388	1.119330533	0.262999155	0.756974162
Ak3l2-ps	250.8423217	-1.19353226	0.159942491	-7.462258802	8.51E-14	2.34E-12
RP23-65J2.1	1.714994136	0.001009338	0.185470002	0.005442058	0.995657888	0.999630442
Gm11703	68.45297772	0.175253028	0.234031536	0.748843645	0.45395145	0.999630442
Gm26778	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Trp53inp2	905.638597	0.002487513	0.096462452	0.025787367	0.979426938	0.999630442
Tefm	1873.962791	-0.005239571	0.085958107	-0.060954937	0.951395097	0.999630442
4933408J17Rik	2.020465291	0.003942484	0.198911939	0.01982025	0.984186764	0.999630442
Btnl7-ps	3.564507916	0.196262517	0.238059046	0.824427892	0.409696472	0.999630442
Sp3	13622.69253	0.308610065	0.066412824	4.646844498	3.37E-06	4.10E-05
Gm26165	3.825598444	-0.015235322	0.238504199	-0.063878634	0.949066865	0.999630442
E030024N20Rik	75.55474316	0.013475806	0.227205553	0.059311076	0.952704339	0.999630442
Slc6a20a	232.7779683	0.810798259	0.154146379	5.259924124	1.44E-07	2.15E-06
Peg13	567.6956255	0.281078887	0.131275323	2.14114032	0.032262724	0.148003754
E2f8	8642.4576	-0.059564968	0.067514637	-0.882252656	0.377640192	0.955007152
Vmn1r51	4.488057791	-0.123017242	0.252194356	-0.487787451	0.625700401	0.999630442
Psmd12	16380.45488	0.114895014	0.068802113	1.669934377	0.094932348	0.352928201
Dcun1d1	9729.561023	-0.01080785	0.068153235	-0.158581618	0.873998512	0.999630442
Prss38	1.357347277	0.068673571	0.172537439	0.398021275	0.690614503	0.999630442
mt-Ts1	1.525542086	0.032436825	0.180063063	0.180141468	0.857041508	0.999630442
Gm20696	2.042022115	0.062389387	0.200076867	0.311827088	0.755171936	0.999630442
Sep-14	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Mmd	237.3704414	-1.102636627	0.154215432	-7.149975954	8.68E-13	2.18E-11
Setd3	6515.382708	0.036991161	0.07481552	0.494431655	0.621001363	0.999630442
Defb19	1.19068061	0.036415387	0.16416641	0.221819963	0.824454038	0.999630442
Gm6043	14.87222772	-0.230331832	0.298893217	-0.770615789	0.4409347	0.999630442
Snhg15	1465.602903	-0.071021206	0.08899874	-0.79800237	0.424869115	0.999630442
Chn1	540.2184052	0.030338028	0.113279192	0.267816428	0.788840625	0.999630442
Gm11877	5.504653765	-0.211927018	0.266459216	-0.795345047	0.426412817	0.999630442
1700025F24Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm8101	1.331467189	0.0039487	0.171695514	0.02299827	0.981651653	0.999630442
Mcm5	52488.5726	0.2637144	0.069085179	3.817235539	0.000134955	0.001231984
Gm45216	3.04015597	0.003544975	0.228345014	0.015524644	0.987613624	0.999630442
Ccin	1.710216924	-0.064686932	0.187517526	-0.344964728	0.730120888	0.999630442
Nek8	766.9949667	0.773539488	0.112567781	6.871766321	6.34E-12	1.49E-10
Miox	2.18128055	0.094727696	0.204361487	0.46353008	0.642984459	0.999630442
Trpc7	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Chil5	15.91439429	-0.889446174	0.29889986	-2.975732986	0.002922892	0.019294399
1700123J17Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm5278	2.511519179	0.03382096	0.21498306	0.157319184	0.874993302	0.999630442
4930500F04Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Tubgcp4	3463.433726	-0.03895316	0.075648757	-0.514921346	0.606607984	0.999630442
Espnl	711.8656935	-1.07140637	0.109918525	-9.747277537	1.89E-22	9.15E-21
Gm29666	98.41338194	0.003545199	0.210239132	0.016862697	0.986546152	0.999630442
Gm4332	31367.52589	0.001235303	0.064620468	0.019116279	0.984748345	0.999630442
Gm13626	1.524013944	0.098644291	0.179368939	0.549951914	0.582352356	0.999630442
Hook2	980.6124874	0.120062904	0.102104053	1.175887742	0.239639738	0.711238986
6030452D12Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm9577	5.369148702	-0.089021109	0.26341747	-0.337946866	0.735403229	0.999630442
Gm37933	26.96775315	-0.337764948	0.287302953	-1.175640363	0.239738619	0.711450145
1700097M23Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Atp5e	13176.81359	0.196626777	0.069323743	2.83635545	0.004563163	0.028376789
Hdac2	14963.78264	-0.043521669	0.066118612	-0.658236275	0.510386319	0.999630442
Gm43413	5.134884576	0.45487982	0.257785178	1.764569337	0.077636173	0.300561892
1700121C08Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gpcpd1	1333.136969	0.343814455	0.091479558	3.758374695	0.000171021	0.001532316
Gm11836	12.8981755	-0.098540612	0.297767205	-0.330931716	0.740696064	0.999630442
